job_title,job_type,salary,job_skill,gaji_perbulan,clean_text,label
procurement executive contract,Contract,"USD 45,000 - 90,750 / YEARLY",communication,"3,750 - 7,562",procurement executive contract communication,procurement
account executive/ assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",account executive/ assistant communication,sales
data analyst - asset management spx express,Full-time,"USD 60,000 - 90,000 / YEARLY",data analysis,"5,000 - 7,500",data analyst - asset management spx express data analysis,data_analyst_bi
service engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",react,"5,833 - 8,750",service engineer react,technical_support
purchasing executive,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",purchasing executive communication,procurement
accounts executive,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",accounts executive excel,finance_accounting
accounts executive,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",accounts executive communication,finance_accounting
accounts assistant ap,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",accounts assistant ap communication,finance_accounting
admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",admin assistant excel,administration
clerical assistant educational centre,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",clerical assistant educational centre communication,administration
finance executive,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",finance executive excel,finance_accounting
purchasing assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",purchasing assistant communication,procurement
penetration tester,Full-time,"USD 45,000 - 82,500 / YEARLY",sql excel java,"3,750 - 6,875",penetration tester sql excel java,backend_dev
hr admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",hr admin executive excel,hr_recruitment
audit assistant,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",audit assistant communication,finance_accounting
admin cum hr executive,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",admin cum hr executive excel,hr_recruitment
key account executive chemistry/oil gas,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",key account executive chemistry/oil gas communication,sales
operations engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",python,"5,833 - 8,750",operations engineer python,technical_support
assistant human capital manager/ senior human capital executive,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",assistant human capital manager/ senior human capital executive communication,hr_recruitment
invoicing assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",invoicing assistant communication,administration
account cum admin executive,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",account cum admin executive excel,administration
software qa analyst manual testing,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",software qa analyst manual testing excel,software_dev
audit associate,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",audit associate communication,finance_accounting
business executive work from home,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",business executive work from home excel,sales
mechanical design engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",mechanical design engineer communication,technical_support
graduate engineer civil and structural,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",graduate engineer civil and structural excel,technical_support
finance specialist/senior account executive,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",finance specialist/senior account executive excel,finance_accounting
